epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,676.002,0.97232,0.52446,1.07129,0.93522,0.95407,0.96951,0.70554,1.04532,0.46308,1.02807,0.000420875,0.000420875,0.000420875
69,685.716,0.97367,0.52475,1.06154,0.93491,0.96353,0.96331,0.69882,1.03954,0.45677,1.01735,0.0004085,0.0004085,0.0004085
70,695.38,0.95555,0.51566,1.05545,0.9496,0.94643,0.96516,0.70159,1.03672,0.46174,1.01755,0.000396125,0.000396125,0.000396125
71,705.129,0.93708,0.50497,1.05217,0.9535,0.94926,0.96701,0.69392,1.05724,0.45714,1.02565,0.00038375,0.00038375,0.00038375
72,715.159,0.93256,0.50026,1.04803,0.9437,0.94394,0.96695,0.70418,1.03794,0.45402,1.01721,0.000371375,0.000371375,0.000371375
73,724.846,0.92653,0.50569,1.04879,0.94115,0.94836,0.96466,0.70027,1.03376,0.44941,1.01424,0.000359,0.000359,0.000359
74,734.53,0.92779,0.50943,1.04177,0.96039,0.94465,0.96748,0.70411,1.03385,0.45025,1.01998,0.000346625,0.000346625,0.000346625
75,744.312,0.936,0.50829,1.0521,0.95761,0.93191,0.96646,0.69695,1.04458,0.45693,1.03131,0.00033425,0.00033425,0.00033425
76,754.132,0.92808,0.49976,1.04444,0.96192,0.93986,0.96579,0.69601,1.03249,0.44734,1.01358,0.000321875,0.000321875,0.000321875
77,763.945,0.91372,0.49265,1.04846,0.94452,0.96069,0.97097,0.70659,1.03454,0.45003,1.02082,0.0003095,0.0003095,0.0003095
78,773.566,0.92433,0.49134,1.04337,0.96422,0.95398,0.96876,0.70227,1.03472,0.44171,1.0167,0.000297125,0.000297125,0.000297125
79,783.617,0.90967,0.48668,1.03012,0.95937,0.9504,0.97261,0.70894,1.03456,0.43481,1.01854,0.00028475,0.00028475,0.00028475
80,793.329,0.90295,0.49038,1.04016,0.94496,0.95829,0.9674,0.6992,1.02105,0.43858,1.0141,0.000272375,0.000272375,0.000272375
81,803.004,0.90731,0.48573,1.03613,0.94199,0.94721,0.96831,0.70509,1.03494,0.4452,1.01418,0.00026,0.00026,0.00026
82,812.932,0.88411,0.47281,1.02974,0.95878,0.94753,0.97341,0.71403,1.02303,0.42904,1.01012,0.000247625,0.000247625,0.000247625
83,822.775,0.89356,0.48433,1.03527,0.94653,0.9397,0.9666,0.6998,1.03033,0.44128,1.01704,0.00023525,0.00023525,0.00023525
84,832.644,0.8824,0.46468,1.02873,0.93307,0.96367,0.97003,0.70334,1.0289,0.43865,1.01525,0.000222875,0.000222875,0.000222875
85,842.483,0.86746,0.46075,1.02564,0.94905,0.94408,0.9741,0.70802,1.02609,0.4336,1.0131,0.0002105,0.0002105,0.0002105
86,852.362,0.87419,0.46713,1.02192,0.95879,0.94721,0.96816,0.70775,1.01947,0.43422,1.00835,0.000198125,0.000198125,0.000198125
87,862.376,0.89158,0.46639,1.03353,0.93849,0.93871,0.96761,0.71295,1.00934,0.43944,1.00115,0.00018575,0.00018575,0.00018575
88,872.285,0.86252,0.45863,1.0243,0.95266,0.93278,0.97161,0.713,1.011,0.43135,1.00136,0.000173375,0.000173375,0.000173375
89,882.046,0.86463,0.45544,1.02226,0.93247,0.94582,0.97017,0.70671,1.02021,0.43598,1.01253,0.000161,0.000161,0.000161
90,891.763,0.86079,0.45487,1.02338,0.93913,0.94662,0.96525,0.70796,1.01904,0.43156,1.0136,0.000148625,0.000148625,0.000148625
91,930.46,0.81843,0.38227,0.9908,0.93198,0.95586,0.9639,0.69992,1.02676,0.43833,1.014,0.00013625,0.00013625,0.00013625
92,940.292,0.7888,0.36139,0.98192,0.95577,0.94802,0.96625,0.70678,1.02763,0.4348,1.01644,0.000123875,0.000123875,0.000123875
93,950.041,0.77552,0.35646,0.9751,0.94168,0.94973,0.96311,0.70043,1.02713,0.43659,1.01441,0.0001115,0.0001115,0.0001115
94,960.015,0.78212,0.35651,0.97638,0.94917,0.94082,0.96776,0.70263,1.026,0.43276,1.01684,9.9125e-05,9.9125e-05,9.9125e-05
95,969.816,0.76779,0.35363,0.97635,0.94956,0.9287,0.97079,0.71273,1.01953,0.43303,1.01285,8.675e-05,8.675e-05,8.675e-05
96,979.66,0.75649,0.34875,0.96789,0.95135,0.9331,0.97171,0.71706,1.02213,0.43331,1.01296,7.4375e-05,7.4375e-05,7.4375e-05
97,989.438,0.75508,0.34567,0.96623,0.94891,0.94541,0.97215,0.71597,1.02363,0.43252,1.01412,6.2e-05,6.2e-05,6.2e-05
98,999.168,0.74987,0.34188,0.96791,0.94374,0.93939,0.97355,0.71402,1.02449,0.43037,1.01621,4.9625e-05,4.9625e-05,4.9625e-05
99,1008.93,0.74794,0.34184,0.96771,0.94493,0.95302,0.9737,0.71438,1.02177,0.42756,1.01259,3.725e-05,3.725e-05,3.725e-05
100,1018.74,0.73812,0.33805,0.95416,0.94091,0.9566,0.97367,0.71323,1.02212,0.42612,1.01438,2.4875e-05,2.4875e-05,2.4875e-05
