               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.032452,           0.0090825,           0.0033225,             0.93619,             0.92684,             0.96241,              0.6074,            0.025243,           0.0041853,           0.0026007,            0.004654,            0.004654,            0.004654
                  56,            0.032104,            0.009092,           0.0034414,             0.94048,             0.91396,             0.96014,             0.60946,            0.025114,           0.0042781,            0.002351,            0.004555,            0.004555,            0.004555
                  57,            0.032056,            0.008772,           0.0032995,             0.94869,             0.91287,             0.96261,             0.62068,            0.024945,           0.0041731,           0.0020934,            0.004456,            0.004456,            0.004456
                  58,            0.032269,           0.0088603,           0.0033896,             0.94571,             0.92365,             0.96303,             0.61898,            0.024775,           0.0041925,           0.0019819,            0.004357,            0.004357,            0.004357
                  59,            0.031683,           0.0088764,           0.0033745,             0.94188,             0.91724,             0.96456,             0.62107,            0.024686,           0.0041514,           0.0022322,            0.004258,            0.004258,            0.004258
                  60,            0.031734,           0.0088724,           0.0031107,             0.94018,             0.91703,              0.9618,             0.62057,             0.02473,           0.0041551,           0.0016571,            0.004159,            0.004159,            0.004159
                  61,            0.031605,           0.0088793,           0.0033226,             0.95473,             0.92403,             0.96413,             0.62275,            0.024706,           0.0041232,           0.0018434,             0.00406,             0.00406,             0.00406
                  62,              0.0312,           0.0088783,           0.0031632,             0.94214,             0.93091,             0.96574,             0.62076,            0.024523,           0.0041031,           0.0016926,            0.003961,            0.003961,            0.003961
                  63,            0.031335,           0.0087445,           0.0032805,             0.95737,             0.92321,             0.96367,             0.62749,            0.024619,           0.0040753,           0.0021245,            0.003862,            0.003862,            0.003862
                  64,            0.031076,           0.0084969,           0.0028464,             0.94208,             0.93951,             0.96303,             0.63036,            0.024145,            0.004035,           0.0021687,            0.003763,            0.003763,            0.003763
                  65,            0.031189,           0.0086266,           0.0030466,             0.95563,             0.92888,             0.96697,             0.62756,            0.024117,           0.0040391,           0.0018819,            0.003664,            0.003664,            0.003664
                  66,            0.030926,           0.0086295,           0.0030722,             0.95129,             0.94007,             0.96501,             0.62705,            0.024611,           0.0040771,           0.0016087,            0.003565,            0.003565,            0.003565
                  67,            0.031057,            0.008666,           0.0030259,             0.95217,             0.93383,             0.96399,             0.62213,            0.024282,           0.0040444,             0.00208,            0.003466,            0.003466,            0.003466
                  68,            0.030701,           0.0086377,            0.003033,             0.94898,             0.93259,             0.96504,             0.63052,             0.02444,           0.0040302,           0.0016146,            0.003367,            0.003367,            0.003367
                  69,            0.030588,           0.0086047,           0.0028857,             0.95468,             0.93209,              0.9659,             0.63193,            0.023942,           0.0039909,           0.0019284,            0.003268,            0.003268,            0.003268
                  70,            0.030628,           0.0085395,           0.0028927,             0.95692,             0.93949,             0.96694,             0.63683,            0.024082,           0.0039342,           0.0017558,            0.003169,            0.003169,            0.003169
                  71,            0.029857,           0.0085047,           0.0027776,               0.958,             0.93832,             0.96924,             0.63691,            0.023903,           0.0039484,           0.0017373,             0.00307,             0.00307,             0.00307
                  72,             0.02984,           0.0083111,           0.0024949,             0.95325,             0.93975,             0.96904,             0.63073,            0.024067,           0.0039448,           0.0017137,            0.002971,            0.002971,            0.002971
                  73,            0.030004,           0.0085663,           0.0029382,             0.94608,             0.94394,             0.96836,              0.6449,            0.023658,           0.0039135,           0.0017731,            0.002872,            0.002872,            0.002872
                  74,            0.030112,           0.0084113,           0.0026928,             0.96104,             0.94837,             0.96681,             0.63991,            0.023724,           0.0039111,           0.0016409,            0.002773,            0.002773,            0.002773
                  75,            0.029858,           0.0083175,           0.0027396,             0.94951,             0.93752,             0.96618,             0.63776,            0.023727,           0.0038996,           0.0018039,            0.002674,            0.002674,            0.002674
                  76,            0.029748,           0.0084587,           0.0025319,              0.9639,             0.93896,              0.9663,             0.63923,            0.023407,           0.0038846,           0.0017965,            0.002575,            0.002575,            0.002575
                  77,              0.0295,           0.0082584,           0.0025532,             0.96064,             0.93084,             0.96626,             0.64451,            0.023483,           0.0039031,           0.0015636,            0.002476,            0.002476,            0.002476
                  78,            0.029134,            0.008332,           0.0024149,             0.95257,             0.94198,             0.96423,             0.64427,            0.023554,           0.0038983,           0.0014745,            0.002377,            0.002377,            0.002377
                  79,            0.029235,           0.0082216,           0.0026036,             0.95815,             0.95069,             0.96776,             0.64178,            0.023567,           0.0038496,           0.0016186,            0.002278,            0.002278,            0.002278
                  80,            0.029549,             0.00828,           0.0027196,             0.96123,             0.93852,             0.96525,             0.64851,             0.02307,           0.0038394,           0.0016997,            0.002179,            0.002179,            0.002179
                  81,            0.028817,           0.0082556,           0.0025285,             0.96362,             0.93655,             0.96761,             0.64647,             0.02321,           0.0038409,           0.0016178,             0.00208,             0.00208,             0.00208
                  82,            0.028803,           0.0083296,           0.0023589,             0.96419,              0.9423,             0.96604,             0.64997,            0.023299,           0.0038469,           0.0015001,            0.001981,            0.001981,            0.001981
                  83,             0.02891,            0.008445,           0.0024732,             0.95928,             0.94693,             0.97021,             0.64797,            0.023189,           0.0038324,           0.0013727,            0.001882,            0.001882,            0.001882
                  84,            0.028284,           0.0081738,           0.0023944,             0.95391,             0.94769,             0.97092,             0.64787,             0.02311,           0.0038143,           0.0016179,            0.001783,            0.001783,            0.001783
                  85,            0.028734,           0.0081876,           0.0021021,             0.95544,             0.94382,              0.9705,             0.65127,            0.022983,           0.0038127,           0.0017954,            0.001684,            0.001684,            0.001684
                  86,             0.02812,           0.0079899,           0.0021626,             0.95563,             0.94468,              0.9684,             0.65103,             0.02324,           0.0037973,           0.0016394,            0.001585,            0.001585,            0.001585
                  87,            0.028514,           0.0081003,           0.0020541,             0.96002,             0.94753,              0.9715,             0.65285,            0.022991,           0.0037863,           0.0016289,            0.001486,            0.001486,            0.001486
                  88,            0.028216,           0.0081712,           0.0021168,             0.95367,             0.94927,             0.96907,             0.65229,            0.023078,           0.0037864,           0.0015718,            0.001387,            0.001387,            0.001387
                  89,            0.027985,           0.0080473,           0.0020345,             0.96569,             0.94037,             0.97063,             0.65204,            0.022833,           0.0037822,           0.0016222,            0.001288,            0.001288,            0.001288
                  90,            0.027772,           0.0079569,           0.0022361,             0.96798,             0.94091,             0.97172,             0.65599,            0.022874,           0.0037654,           0.0014059,            0.001189,            0.001189,            0.001189
                  91,            0.027967,           0.0080088,            0.001942,             0.95741,             0.94734,             0.97019,             0.65887,             0.02274,           0.0037591,           0.0015978,             0.00109,             0.00109,             0.00109
                  92,            0.027525,           0.0079502,           0.0024021,             0.95585,             0.94813,             0.96939,             0.65858,            0.022932,           0.0037653,           0.0017519,            0.000991,            0.000991,            0.000991
                  93,            0.027677,           0.0080767,           0.0019618,             0.96575,             0.94287,             0.97055,             0.65709,            0.022901,           0.0037291,           0.0016024,            0.000892,            0.000892,            0.000892
                  94,            0.027348,           0.0080017,           0.0021407,             0.96159,             0.94733,              0.9713,              0.6595,            0.022832,             0.00373,           0.0015797,            0.000793,            0.000793,            0.000793
                  95,            0.027673,           0.0079218,           0.0021004,             0.96346,              0.9439,             0.97131,             0.65843,            0.022669,           0.0037226,           0.0016803,            0.000694,            0.000694,            0.000694
                  96,            0.027148,           0.0079014,           0.0017708,              0.9722,              0.9354,             0.97257,             0.66029,            0.022629,           0.0037104,           0.0014153,            0.000595,            0.000595,            0.000595
                  97,            0.027202,           0.0079814,           0.0019316,             0.97231,             0.93896,             0.97135,             0.66025,            0.022641,           0.0037167,           0.0015624,            0.000496,            0.000496,            0.000496
                  98,            0.026756,           0.0078058,           0.0019392,             0.97597,              0.9435,             0.97135,             0.65736,            0.022654,            0.003714,           0.0013536,            0.000397,            0.000397,            0.000397
                  99,            0.027115,           0.0078984,           0.0017979,             0.96753,             0.94226,             0.97171,             0.66097,            0.022696,           0.0037109,           0.0015925,            0.000298,            0.000298,            0.000298
